Maker,Model,Introduced,NotableUser1,NotableUser2,NotableUser3,Feature1,Feature2,Feature3,Feature4,Feature5,Popularity,Dates,Finish1,Finish2,Finish3,Finish4,Finish5
Fender,Bronco,1967,Johnny Winter,,,Short scale length (24 inches),Single pickup,Unique tremolo system,Offset body design,,Designed as a student model but has been used by notable musicians for its simplicity and playability.,"1967 - 1981, 1994 - 2001, 2011 - 2021",Fiesta Red,Sonic Blue,Dakota Red,,
Fender,Bullet,1981,,,,Designed as an affordable entry-level guitar,Single or dual single-coil pickups,Stratocaster-style body,Hardtail or tremolo bridge,,"Aimed at students and beginners, known for its affordability and ease of play.","1981 - 1983, 2007 - 2010",Arctic White,Fiesta Red,Black,,
Fender,Coronado,1965,Elvis Presley,Dave Davies,,Fully hollow body,DeArmond single-coil pickups,Bolt-on neck,Floating bridge with a trapeze tailpiece,,"A departure from Fender's solid-body tradition, known for its rich, warm tone.","1966 - 1972, 2013 - 2017",Antigua,Cherry Red,Wildwood I,,
Fender,Cyclone,1997,,,,"Mix of Stratocaster, Mustang, and Jaguar features",Humbucker in the bridge and single-coil in the neck,Short scale length (24.75 inches),Offset body design,,Versatile guitar popular among alternative rock musicians.,1997 - 2012,Candy Apple Red,Sonic Blue,Lake Placid Blue,,
Fender,Duo-Sonic,1956,Jimi Hendrix,Rory Gallagher,,Short scale length (22.5 or 24 inches),Two single-coil pickups,"Simple, straightforward design",Offset body design,,Initially targeted at student guitarists but later found a following among professional musicians for its unique sound.,"1956 - 1969, 1993 - 1999, 2016 - Present",Arctic White,Capri Orange,Torino Red,Desert Sand,
Fender,Esquire,1950,Bruce Springsteen,Jeff Beck,,Single pickup,Similar body to the Telecaster,Bolt-on neck,String-through-body design,,Known for its simplicity and bright tone.,"1950 - 1969, 1986 - Present",Butterscotch Blonde,Black,White Blonde,,
Fender,Jaguar,1962,Kurt Cobain,Johnny Marr,,Shorter scale length (24 inches),Dual circuit design similar to the Jazzmaster,Unique switching system with on/off and high-pass filter switches,Floating tremolo system,,Became popular with surf rock musicians and later with alternative and indie rock artists.,1962 - Present,Sunburst,Candy Apple Red,Olympic White,Surf Green,
Fender,Jazz Bass (J-Bass),1960,Jaco Pastorius,Geddy Lee,Marcus Miller,Dual single-coil pickups,Offset body design similar to the Jazzmaster,Narrower neck at the nut compared to the P-Bass,,,"Known for its versatility and bright, punchy tone, favored by jazz, funk, and rock bassists.",1960 - Present,Sunburst,Olympic White,Black,Natural,
Fender,Jazzmaster,1958,Tom Verlaine,J Mascis,Kevin Shields,Offset body design for better balance when seated,Dual circuit design with separate rhythm and lead circuits,"Wide, flat single-coil pickups",Floating tremolo system,,Initially targeted at jazz musicians but gained popularity in surf rock and alternative/indie genres.,1958 - Present,Sunburst,Olympic White,Surf Green,Candy Apple Red,
Fender,Katana,1985,,,,Radical body shape inspired by Japanese katana swords,Single humbucking pickup,Set neck,Minimalist controls,,"Aimed at metal and hard rock players, known for its aggressive design.",1985 - 1986,Various finishes including Sunburst,Black,Olympic White,,
